Taryfa,Fazy,Strefa,Cena_energii_[zl/kWh],Oplata_dystrybucyjna_zmienna_[zl/kWh],Suma_kosztow_zmiennych_[zl/kWh],Oplata_dystrybucyjna_stala_[zl/mc],Skladnik_zmienny_sieciowy_[zl/kWh],Stawka_jakosciowa_[zl/kWh],Oplata_OZE_[zl/kWh],Oplata_kogeneracyjna_[zl/kWh],Skladnik_staly_sieciowy_[zl/mc],Oplata_abonamentowa_[zl/mc],Oplata_mocowa_[zl/mc]
G11,1,cala doba,0.4980,0.2890,0.7870,35.34,0.2456,0.0331,0.0073,0.0030,7.45,3.84,24.05
G11,3,cala doba,0.4980,0.2890,0.7870,38.30,0.2456,0.0331,0.0073,0.0030,10.41,3.84,24.05
G12,1,dzienna,0.5779,0.3213,0.8992,37.48,0.2779,0.0331,0.0073,0.0030,9.59,3.84,24.05
G12,1,nocna,0.3369,0.1347,0.4716,37.48,0.0913,0.0331,0.0073,0.0030,9.59,3.84,24.05
G12,3,dzienna,0.5779,0.3213,0.8992,42.45,0.2779,0.0331,0.0073,0.0030,14.56,3.84,24.05
G12,3,nocna,0.3369,0.1347,0.4716,42.45,0.0913,0.0331,0.0073,0.0030,14.56,3.84,24.05
G12w,1,szczytowa,0.6518,0.3136,0.9654,44.74,0.2702,0.0331,0.0073,0.0030,16.85,3.84,24.05
G12w,1,pozaszczytowa,0.3465,0.1247,0.4712,44.74,0.0813,0.0331,0.0073,0.0030,16.85,3.84,24.05
G12w,3,szczytowa,0.6518,0.3136,0.9654,54.12,0.2702,0.0331,0.0073,0.0030,26.23,3.84,24.05
G12w,3,pozaszczytowa,0.3465,0.1247,0.4712,54.12,0.0813,0.0331,0.0073,0.0030,26.23,3.84,24.05
G11p,1,cala doba,0.4980,0.2890,0.7870,31.66,0.2456,0.0331,0.0073,0.0030,7.45,0.16,24.05
G11p,3,cala doba,0.4980,0.2890,0.7870,34.62,0.2456,0.0331,0.0073,0.0030,10.41,0.16,24.05
G12p,1,dzienna,0.5779,0.3213,0.8992,33.80,0.2779,0.0331,0.0073,0.0030,9.59,0.16,24.05
G12p,1,nocna,0.3369,0.1347,0.4716,33.80,0.0913,0.0331,0.0073,0.0030,9.59,0.16,24.05
G12p,3,dzienna,0.5779,0.3213,0.8992,38.77,0.2779,0.0331,0.0073,0.0030,14.56,0.16,24.05
G12p,3,nocna,0.3369,0.1347,0.4716,38.77,0.0913,0.0331,0.0073,0.0030,14.56,0.16,24.05
G12as,1,dzienna,0.5779,0.2890,0.8669,42.74,0.2456,0.0331,0.0073,0.0030,14.90,3.84,24.05
G12as,1,nocna,0.3369,0.0680,0.4049,42.74,0.0246,0.0331,0.0073,0.0030,14.90,3.84,24.05
G12as,3,dzienna,0.5779,0.2890,0.8669,48.71,0.2456,0.0331,0.0073,0.0030,20.82,3.84,24.05
G12as,3,nocna,0.3369,0.0680,0.4049,48.71,0.0246,0.0331,0.0073,0.0030,20.82,3.84,24.05
G12sezON,1,zalecanego poboru,0.3369,0.1347,0.4716,37.48,0.0913,0.0331,0.0073,0.0030,9.59,3.84,24.05
G12sezON,1,pozostale,0.5779,0.3213,0.8992,37.48,0.2779,0.0331,0.0073,0.0030,9.59,3.84,24.05
G12sezON,3,zalecanego poboru,0.3369,0.1347,0.4716,42.45,0.0913,0.0331,0.0073,0.0030,14.56,3.84,24.05
G12sezON,3,pozostale,0.5779,0.3213,0.8992,42.45,0.2779,0.0331,0.0073,0.0030,14.56,3.84,24.05
